AUDIO_FILE,REACTION_TIME,FREQUENCY_R,ID,BLOCK_4,ORDER,LIST,CONDITION,ITEM,PICTURE,WORD_FRENCH,RESPONSE,CATEGORY,NEW_PIC,TYPE_OF_ERROR,NO_RESPONSE,SEM1,ERROR,CATEGORY_RESPONSE
sub17_PICTURE_106.wav,1534.7,LOW,sub17,3,123,6,Category,366,PICTURE_106,serre,serre,constructions,0,,0,0,0,0
sub24_PICTURE_106.wav,1534.7,LOW,sub24,3,123,6,Category,366,PICTURE_106,serre,serre,constructions,0,,0,0,0,0
sub20_PICTURE_417.wav,1674.7,LOW,sub20,3,123,4,Category,421,PICTURE_417,trombone,trompette,instruments de musique,0,SEM1,0,1,1,0
sub04_PICTURE_788.wav,1973.2,LOW,sub04,3,123,1,Basic,285,PICTURE_788,parabole,sonette,appareilles électronique,1,INCORRECT,0,0,1,0
sub08_PICTURE_695.wav,972.8,HIGH,sub08,3,123,3,Basic,273,PICTURE_695,orange,orange,fruits,0,,0,0,0,0
sub15_PICTURE_695.wav,1028.1,HIGH,sub15,3,123,3,Basic,273,PICTURE_695,orange,orange,fruits,0,,0,0,0,0
sub10_PICTURE_695.wav,1249.1,HIGH,sub10,3,123,3,Basic,273,PICTURE_695,orange,orange,fruits,0,,0,0,0,0
sub09_PICTURE_695.wav,1322.8,HIGH,sub09,3,123,3,Basic,273,PICTURE_695,orange,orange,fruits,0,,0,0,0,0
sub22_PICTURE_417.wav,2198,LOW,sub22,3,123,4,Category,421,PICTURE_417,trombone,trombone,instruments de musique,0,,0,0,0,0
sub01_PICTURE_788.wav,,LOW,sub01,3,123,1,Basic,285,PICTURE_788,parabole,no_response,appareilles électronique,1,NONE,1,0,1,0
sub06_PICTURE_788.wav,,LOW,sub06,3,123,1,Basic,285,PICTURE_788,parabole,no_response,appareilles électronique,1,NONE,1,0,1,0
sub02_PICTURE_653.wav,838.3,LOW,sub02,3,124,2,Category,286,PICTURE_653,parapluie,parapluie,accessoires,0,,0,0,0,0
sub16_PICTURE_653.wav,842,LOW,sub16,3,124,2,Category,286,PICTURE_653,parapluie,parapluie,accessoires,0,,0,0,0,0
sub12_PICTURE_244.wav,878.8,LOW,sub12,3,124,5,Basic,7,PICTURE_244,ampoule,ampoule,outils,0,,0,0,0,0
sub11_PICTURE_244.wav,919.4,LOW,sub11,3,124,5,Basic,7,PICTURE_244,ampoule,ampoule,outils,0,,0,0,0,0
sub14_PICTURE_244.wav,963.6,LOW,sub14,3,124,5,Basic,7,PICTURE_244,ampoule,ampoule,outils,0,,0,0,0,0
sub13_PICTURE_244.wav,1015.2,LOW,sub13,3,124,5,Basic,7,PICTURE_244,ampoule,ampoule,outils,0,,0,0,0,0
sub03_PICTURE_653.wav,1026.2,LOW,sub03,3,124,2,Category,286,PICTURE_653,parapluie,parapluie,accessoires,0,,0,0,0,0
sub18_PICTURE_690.wav,895.4,HIGH,sub18,3,124,6,Category,83,PICTURE_690,chapeau,chapeau,vêtements,0,,0,0,0,0
sub24_PICTURE_690.wav,902.8,HIGH,sub24,3,124,6,Category,83,PICTURE_690,chapeau,chapeau,vêtements,0,,0,0,0,0
sub19_PICTURE_690.wav,1186.5,HIGH,sub19,3,124,6,Category,83,PICTURE_690,chapeau,chapeau,vêtements,0,,0,0,0,0
